"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"12-Apr",6.772331,24.23158,5.621776,8.623671,10.19836,4.872471,2.767461,0,2.872089,0,0,0,0,21.7718,6.89406,21.24932,0,4.263586,0,23.75532,0.592961,0,1.984675,0,0,1.873576,15.24321,1.115381,0,3.571351,0,8.498796,0,11.73897,0,0,5.579633,21,27
"13-Apr",3.712438,6.834756,33.57659,8.233066,16.37004,12.83379,0,10.23529,6.037991,0,2.939535,1.076479,12.22458,3.91241,5.984685,0,0,5.277028,5.093766,39.98722,6.397867,9.270538,2.251229,2.293959,45.78619,5.335209,2.575541,17.48082,0,0,17.50336,13.18147,0,7.592739,0,31.89204,2.499486,41,25
"14-Apr",6.632957,15.59712,11.92206,4.428246,45.12685,10.63896,0,1.293173,16.08432,0,0,5.268297,6.648452,6.48909,0,1.910721,3.544142,9.5592,1.674846,2.016206,15.47042,6.925139,0.9330233,9.556804,8.814745,9.481075,10.66802,1.961669,7.880744,17.24175,11.31614,23.59791,6.17032,0,0,0,6.678626,27,0
"15-Apr",14.02707,10.38111,38.11662,0,0,6.512205,3.434775,7.972143,0,0,0,10.06956,13.53808,11.30353,0,2.248652,10.74381,6.222002,21.39401,14.07077,11.7587,9.158185,2.47043,0.5195601,7.58883,3.466785,17.65345,8.663496,7.381358,12.19105,2.232355,10.46093,7.196465,13.23053,7.156299,34.03354,2.926475,9,19
"16-Apr",16.22419,5.868544,10.67589,25.65567,0,9.533239,0,15.51045,1.036777,0,,4.207784,16.73173,31.15264,1.224073,1.616295,3.57372,0,15.47729,0,9.304085,8.389782,1.655289,9.73768,7.333098,12.75494,6.169428,2.842416,10.58507,15.64684,13.06319,17.07758,2.604514,37.14327,13.64399,5.209166,0,10,36
"17-Apr",18.47402,8.4001,0,6.668211,0,32.34897,0,0,10.37101,0,11.12703,7.09651,0,13.16616,7.59059,9.483021,0,3.700515,5.505017,9.177859,14.54209,2.176955,3.997188,13.71281,7.885878,2.659555,4.987413,1.622276,0,2.419524,4.186899,0,13.49732,10.51095,6.636227,0,0,35,37
"18-Apr",0,17.74431,17.54338,4.615285,5.419868,20.23987,0,6.559113,14.62462,1.666908,12.14325,14.22805,0,11.74228,7.613831,3.747155,13.53223,0,1.907332,0,14.52055,5.546094,,11.04764,2.481203,8.161592,14.80967,7.041673,0,7.46255,13.19443,0,24.50724,8.279552,3.616033,0.7637697,0,22,27
"19-Apr",7.313143,6.769111,10.64131,18.45681,0,0,,5.544154,4.069801,7.885684,10.07709,4.596667,3.167405,0,13.59619,4.924212,13.37892,0,0,17.18913,8.469026,18.19865,7.631006,18.51038,10.47483,17.66208,14.50437,8.549614,5.019122,6.407562,28.2037,10.59109,1.038274,6.581805,8.646161,3.668048,0,8,25
"20-Apr",9.339478,0,2.099002,0,10.76922,6.002626,0,13.09459,0,5.53385,9.844675,5.120656,3.757996,20.52625,7.216214,,17.07375,9.969312,16.60025,2.003431,10.41986,2.498894,0,23.65421,22.01187,22.29629,17.90548,0,0,12.83348,14.70658,0,16.22919,2.165691,15.66209,8.2198,5.184634,7,12
"21-Apr",4.595679,2.224896,9.71109,22.43501,,24.98564,5.398553,4.153157,15.42827,10.07303,2.834547,0,9.994455,0,0,22.67042,0,15.12115,14.11741,28.87846,28.76562,17.3245,0,8.31662,0.9139422,0,25.89142,0,0,28.43116,14.01891,0,14.27519,28.64468,13.05009,2.447014,10.0182,0,36
"22-Apr",0.7573022,8.129743,3.535308,12.09571,,11.29334,0.2872506,5.673313,16.80172,6.440743,4.444287,0,3.458523,0,0,4.945415,0,14.22426,7.25653,12.86637,10.86877,0,1.255718,12.4205,10.52496,0,18.6601,5.161242,9.145615,12.78638,5.679658,0,8.22672,0,8.159399,24.25304,10.53487,54,27
"23-Apr",0,7.738007,0,3.904622,5.837842,18.83103,11.11332,15.90118,2.894503,13.30516,2.598509,0,7.314459,0,11.74773,5.594137,0,0,9.680267,21.77874,10.93352,0,0.5222988,9.421309,0,0,9.609398,14.07823,0,0,3.419273,6.181842,15.26424,0,2.38717,12.00349,1.469545,9,18
"24-Apr",0,8.788909,0,17.45406,7.340587,7.267497,0,0.7865791,12.66634,7.738668,0.891554,8.00998,2.323524,15.08602,6.559603,17.30653,3.933262,3.03018,1.650064,0,16.22249,25.90522,5.55757,4.08969,21.08474,5.269771,11.02406,25.66492,5.685313,51.65665,8.878413,0,20.91917,11.56584,6.173093,7.05658,1.221683,17,27
"25-Apr",,16.6287,8.94036,15.88032,0.5104927,16.95274,0,4.783843,17.43101,0,5.768711,6.429974,14.79893,9.088216,10.50351,16.88559,4.606994,9.367514,5.33884,9.162752,7.510543,15.28667,0,3.899593,5.554168,19.71125,5.285901,0,0.6435038,0,4.634459,3.342103,4.606059,4.886132,3.772214,6.137418,12.3529,21,15
"26-Apr",,23.82205,9.019229,0,0,14.21941,,11.51783,0,0.4082663,26.82374,52.50595,21.66975,39.89222,21.98761,10.71111,25.58335,0,3.379593,0,29.54386,0,4.366803,0,0,0,0,6.029017,20.68658,15.62246,8.687022,3.918754,13.58175,13.41009,11.13284,11.69362,16.60994,9,25
"27-Apr",,12.37651,,0,5.922582,0,,13.57786,4.784823,26.52101,13.95276,17.98129,24.77725,14.32919,4.859426,5.308917,7.274064,12.17299,0,6.339023,13.9578,5.532132,17.71642,0.9184064,0,24.03792,7.774393,13.71639,9.31734,5.355268,9.522114,0,0,4.872784,9.546208,6.42969,8.261633,18,0
"28-Apr",,0,,4.972415,3.816114,2.403243,,1.857593,5.349014,4.208668,0,3.355253,15.73109,7.534639,15.94307,0,6.905405,55.92278,6.279703,9.786201,0,9.615664,5.426079,7.013758,0,0,12.51103,14.6645,10.79605,18.77391,4.057443,0,11.94913,6.55821,15.97194,9.580215,11.9943,31,25
"29-Apr",,0,,0,2.452253,3.326534,3.332139,2.738794,4.703079,36.56442,2.872861,12.94089,10.93352,0,15.47003,0,13.95288,3.732826,2.853782,18.51152,0,8.531811,2.114815,4.653428,0,3.40676,0,36.58193,4.654798,16.9213,6.051367,0,2.087618,8.284229,9.971068,20.7739,12.73897,9,24
"30-Apr",,7.672634,3.371555,12.77814,5.614671,6.38241,16.64437,0,8.188931,14.04445,8.127456,4.468583,8.673929,8.547515,10.54449,21.25108,5.709081,8.781627,3.034006,17.57564,16.45302,17.48371,0.3434263,15.75835,1.104548,10.34614,9.822718,2.079479,2.500368,0,2.771913,4.688131,1.128203,3.247901,8.940825,9.43222,0,20,26
"1-May",9.295836,4.009733,0,,15.03007,31.65872,57.55656,0,3.893465,16.77486,12.47886,9.180124,26.44077,5.107105,12.17675,0,12.45295,6.094431,8.343436,0,22.37605,0,8.425522,15.4454,8.29311,3.482799,3.762141,35.26325,14.19507,5.386253,29.18057,7.033264,27.27302,0,23.04086,10.1942,0,15,9
"2-May",3.717046,0,0,22.18362,4.224323,0,0,4.886446,36.90316,12.69813,11.1976,0,12.38491,0,9.865732,5.000475,0,7.321207,4.382791,8.684688,9.802128,6.815772,4.661066,4.090799,1.511302,0,3.563059,11.87586,7.019446,0,4.173109,16.18796,8.700743,5.786291,4.93497,0,2.506164,17,18
"3-May",12.58387,0,13.32763,2.803777,45.17368,5.463328,3.573369,0,0,4.055165,3.81927,4.17833,0,3.514031,0,5.865348,28.63744,5.553904,0,40.65802,5.596341,5.192571,8.709457,0,10.12884,0,0,0,0,0,4.241406,3.713397,7.741226,6.213396,8.316269,7.381281,8.006699,22,27
"4-May",2.81289,0,,5.382718,5.97922,12.88232,2.200403,0,0,18.44406,12.74616,39.23795,11.05861,2.495581,0,15.40002,13.90135,13.19429,15.93188,12.12141,4.203936,0,10.94683,4.429995,12.2666,30.94199,0,4.028632,0,0,1.945356,0,21.06063,0,16.40704,20.52432,9.492853,9,18
"5-May",3.985036,0,,1.306539,10.4561,6.309468,29.26958,2.833265,3.070732,3.18068,12.41438,0,4.204117,4.366448,,0,3.246152,3.209494,16.97617,3.881906,3.501979,7.409493,3.6133,7.631102,25.47599,16.27966,0,0,2.604064,3.199012,11.00137,5.794806,12.12048,12.09508,9.146965,2.625273,8.837602,17,17
"6-May",23.53296,4.246107,,0,14.07465,0,7.959295,2.978523,6.199959,16.8277,14.85879,10.52219,1.026878,3.668265,30.56709,10.44047,3.460968,4.145586,3.294516,1.562353,0,0,1.372439,11.85408,5.694026,57.62402,0,1.151321,0.998457,0,21.97431,18.87197,27.04125,6.44437,22.58393,2.477702,2.048367,9,13
"7-May",27.01754,5.034155,21.39323,3.324931,9.510008,9.353439,3.722758,4.288838,8.1604,5.883239,0,29.10728,5.575842,3.325485,0,3.00008,1.730589,5.70053,0,14.79218,0,18.22107,4.064433,64.91382,8.067941,2.476385,0,13.7674,5.838172,3.995275,13.21365,11.64634,16.06308,0,3.476489,12.09291,0,18,26
"8-May",15.65985,7.546799,31.26203,20.56259,17.85629,17.65372,13.15625,8.724036,7.352559,2.431389,6.190653,16.34812,0,0,0,11.34452,4.075046,6.525743,0,0,23.25964,3.692045,2.325545,8.620995,4.15687,0,0,5.138468,10.50964,9.465977,6.570397,4.837528,6.695173,5.576277,10.03617,3.069157,0,0,32
"9-May",9.371834,0,0,0,8.536175,30.44691,0,12.55469,5.758301,4.292516,19.71658,0,8.702203,0.8520664,0,6.696521,11.33285,0,4.01666,0,18.09008,0,2.002033,9.905566,6.770708,0,3.313936,5.437746,10.98546,3.146054,8.535022,10.48807,0,32.94161,13.65299,16.49504,3.60879,16,19
"10-May",25.49257,29.40451,18.50294,8.763927,4.768887,1.529439,16.40755,3.235777,10.85865,0,3.373978,0,2.394604,0,1.091842,9.686051,3.412004,13.21324,9.702494,0,18,0,0,2.598076,14.0308,10.61047,26.66843,8.198753,7.34016,7.873213,6.867365,6.225314,3.762822,29.36873,7.488418,5.343174,0,20,20
"11-May",0,7.025932,5.747639,,10.36756,11.56139,13.40379,11.87414,22.20328,5.521127,8.515312,8.23165,0,0,5.716416,16.59448,8.154337,15.28637,0,0,17,9.168702,0,14.85714,11.39904,6.967718,27.52278,40.14288,0,15.11268,9.675987,5.026397,5.847964,3.369969,17.69943,12.22507,8.207382,18,0
"12-May",0,3.889126,11.65971,0,1.754544,0,11.3009,12.9277,15.44444,0,0,11.56445,4.651446,0,0,0,3.195708,0,0,0,11,6.249393,5.226202,8.4781,0,1.614846,12.55941,0.9207848,0,8.74683,3.256215,6.574747,0,4.329958,5.609403,10.36394,5.139109,18,16
"13-May",3.890333,2.64369,0,12.7546,14.40661,0,10.52303,6.244191,31.40755,31.02508,5.520411,4.475895,9.175567,0,7.867182,8.693581,15.36703,0,5.764296,9.548528,0,5.05663,0,5.787684,19.80653,4.744469,5.292454,0,5.429029,8.353565,0,9.246775,0,5.054198,13.59145,3.336692,2.61659,12,0
"14-May",0,8.492307,2.691281,0,3.438781,0,19.99116,5.499366,8.056386,4.012328,25.98873,11.27455,8.389575,0,4.854071,8.008544,12.63443,10.46415,10.85893,0,35,2.624134,11.06133,1.17688,0,4.385885,12.85522,0,4.167361,8.347753,29.93561,1.850723,0,12.99567,49.18713,13.41874,11.87244,0,21
"15-May",0,5.067327,11.87743,6.809462,0,0,0,6.885286,19.84547,16.46813,18.10667,8.349499,13.09854,0,14.04067,0,12.55212,4.186268,4.51401,0,6.809719,0.4515262,0,5.466238,8.918121,0,9.128983,0,0,24.62675,0,9.002174,0,13.96632,11.11875,18.96981,8.018461,9,0
"16-May",0,0,0,2.763168,0,19.35394,6.875296,8.298575,14.42468,16.60258,6.447076,23.20888,49.74171,23.03935,0,0,8.42148,17.6297,0,0,15.26455,0,7.075795,3.39682,31.23841,0,4.631787,0,15.38004,19.61515,0,5.705527,6.106091,0,2.790663,0,0,9,0
"17-May",2.174934,4.913663,14.02741,11.59234,28.0363,9.270287,,2.069525,1.215369,7.700741,5.966533,7.145082,8.821936,0,7.724211,3.141317,8.184583,27.92754,7.36739,6.640998,0,0,0,3.059676,0,0,10.76351,0,2.749219,2.58644,0,8.698375,14.48949,0,0.6093499,2.068555,3.341123,13,0
"18-May",5.027109,6.757721,32.16212,9.870012,5.917867,0,12.47907,0.9397226,6.344931,0,0,12.28472,7.49648,4.40458,26.20494,1.427731,0,12.22094,0,0,5.740849,0,0,0,4.858894,9.000001,0,0,5.622806,5.073081,0,3.409932,11.46183,0,8.629974,11.18279,6.055007,0,9
"19-May",8.809622,0,18.16802,3.24701,0,5.052248,16.09217,0,4.64176,0,0,0,18.37543,35.88303,12.27366,0,17.27227,57.068,3.339929,0,0,0,0,2.821329,20.41547,0,1.120072,0,6.567593,8.946504,0,3.081058,3.010678,0,4.34652,0.5223587,5.200169,0,22
"20-May",1.584057,2.274782,,,7.761772,27.62627,0,13.95175,0,7.758062,0,18.07382,11.60561,15.99378,0,0,0,0,20.40821,0,0,0,5.074224,3.248472,7.899024,28.8,0.372794,18.0679,2.949691,28.38194,0,2.779174,0,6.88947,0,14.42937,14.91017,0,0
"21-May",0,27.79481,4.513759,,1.065682,0,0.6191587,0,7.347692,0,6.013334,2.82243,7.598669,12.17806,0,,0,0,0,3.457936,4.851502,0,22.02295,3.547956,0,3.006811,7.260223,0,8.664054,0,0,5.14835,2.478452,5.099685,9.312406,22.59124,5.302281,9,0
"22-May",4.605228,2.969088,0,0,0,0,,9.693756,12.97401,1.89469,26.9094,13.3475,0,2.776802,0,0,0,0,0.4438377,4.038999,7.014246,0,8.063379,3.738175,0,4.170197,2.675711,0,0,1.731026,0,1.742004,0,25.30424,0,0,1.942791,8,8
"23-May",7.76006,42.8817,16.9251,6.944224,4.884759,0,,0,28.40855,8.518905,4.865176,49.02272,0,26.69048,0,0,0,0,0,3.366008,9.915674,0,0,2.121957,0,5.596629,3.49707,7.249184,0,5.401322,0,0,0,21.65482,11.42204,0,0,14,0
"24-May",24.44991,0,0,4.943431,0,0,,0,10.68737,13.09583,6.89973,0,0,7.810821,0,0,0,0,10.5483,4.158473,21.51377,0,9.317376,0,5.007096,19.78415,0,3.187248,2.418489,9.849018,0,0,8.118449,0,0,6.608362,26.22729,0,0
"25-May",14.8534,0,5.582828,11.3314,3.338058,0,0,0,29.05642,25.9139,5.097566,8.586052,4.779856,14.49669,0,0,0,3.467732,14.74498,0,4.556705,20.46032,24.45586,6.664998,0,13.33918,0,5.365095,11.02988,8.552188,4.821311,15.52242,14.34888,0,0,1.954621,18.63128,0,0
"26-May",0,3.332424,7.3674,13.47342,13.35905,0,0,7.698535,6.37834,0,9.913818,25.90378,7.716292,16.05521,0,0,12.25755,0,2.955761,0,32.51964,0,0,11.26435,9.000001,3.850619,25.16009,0,14.07182,11.26619,0,17.56813,9.098761,0,19.95741,7.113738,3.271411,13,0
"27-May",0,0,12.05967,17.62042,0,0,0,27.84171,6.133557,2.442422,0,2.841034,9.978133,14.20935,0,0,4.674045,6.265461,10.07892,11.19778,9.977622,0,7.97046,1.068519,4.722856,0,2.752578,0,33.88245,11.15814,4.48481,4.338043,8.570596,2.130696,0,1.272185,4.420117,9,0
"28-May",0,4.501981,0,5.332628,26.04329,0,0,0,4.979083,0,0,6.184786,0,13.92449,10.74902,0,0,5.370371,22.73274,0,6.643699,12.44447,0,8.183642,2.974032,8.564288,8.57605,1.475718,0,0,0,14.74273,4.703546,0,0,0,11.67642,16,0
"29-May",0,4.152012,12.21597,0,13.2716,0,0,7.874197,0,2.650278,0,31.62585,16.57798,12.79878,12.76962,0,0,34.10197,0,0,0,9.103801,47.54171,7.422003,8.557508,8.295654,2.416394,0,2.391696,0,7.018372,1.318169,29.29565,0,0,0,0,9,0
"30-May",1.037907,6.235787,5.170968,3.47164,0,0,0,0,3.526126,0,3.688622,64.62502,5.767033,9.734875,0,0,0,6.090548,0,8.492999,7.788052,8.25868,16.80447,7.717551,0,0,0,0,7.837516,0,0,3.694352,11.41186,0,10.66479,0,15.12465,0,0
"31-May",20.8262,0,0,4.03595,0,0,6.82473,7.10639,2.229274,0,0,0,3.908306,4.985855,0,5.570274,0,3.744802,3.217109,0,17.42348,6.447461,3.577863,18.56403,13.21901,0,25.41264,0,24.46566,0,4.032588,0,6.814695,0,5.530561,12.98202,13.55361,0,0
"1-Jun",0,0,0,4.282513,0,0,0,18.78775,4.596693,0,6.649079,0,16.78313,0,0,4.040587,0,0,9.069039,0,14.259,0,0,1.967633,0,0,0,0,8.490511,1.948845,0,4.650195,5.902422,0,16.40497,2.34791,0,0,9
"2-Jun",5.538526,4.492365,0,0,27.75171,0,0,0,3.787475,0,,0,3.159029,19.86486,2.351543,4.447219,0,0,4.252959,0,0,14.43511,0,0,0,9.231028,3.723931,0,0,0,0,4.09961,10.22912,0,7.250058,2.980248,6.056723,9,0
"3-Jun",0,6.151764,0,7.247615,0,3.410171,0,0,5.899711,0,5.843836,49.5177,14.92204,0,0,0,0,0,7.890869,0,0,0,0,0,7.370344,8.559391,0,0,0,7.83401,0,10.10489,0,0,0,0,0,0,0
"4-Jun",4.468827,0,6.950494,2.058669,0,7.964353,0,0,0,0,0,0,12.81087,0,0,2.848718,0,6.292313,1.545936,0,10.97924,0,0,0,5.226761,9.740075,0,5.246259,2.668585,94.46227,0,19.45895,4.773502,0,7.218042,0,0,0,0
"5-Jun",9.211315,3.415153,11.31267,0,0,15.55668,0,0,0,12.77184,7.418186,0,0,0,0,17.97357,0,0,7.79392,0,3.985801,4.780821,0,2.017549,5.873383,0,0,5.012037,0,0,0,0,0,0,0,0,0,0,9
"6-Jun",7.646314,0,0,3.937284,12.44121,8.899012,,0,0,0,10.44908,5.107646,0,0,4.021532,0,9.461251,0,3.462558,2.145535,8.918507,0,0,0,7.466939,15.26782,2.506535,6.463756,0,0,0,11.55718,8.621394,0,0,0,25.55062,0,9
"7-Jun",0,0,0,6.715531,0,0.7752178,0,0,0,0,30.66406,1.117281,11.35792,0,1.180159,17.76871,7.58844,0,23.9127,3.016242,6.346882,0,4.205357,5.828924,6.576519,3.934494,0,3.644873,0,5.21822,0,2.756555,0,0,0,12.17792,0,0,0
"8-Jun",0,0,0,19.32713,0,0,2.25212,0,4.724443,0,0,4.634958,10.44383,0,0,8.258609,0,20.99857,3.124334,0,3.940776,0,5.818698,14.95129,2.922035,0,0,0,12.71757,2.546974,0,5.650523,5.352435,0,0,0,0,0,0
"9-Jun",0,0,0,4.515799,2.537475,10.93749,9.982553,0,0,70.51341,11.72714,22.46887,0,2.658854,0,0,0,0,6.595397,9.092251,4.942813,0,0,6.619273,4.074514,0,0,0,1.659856,3.46213,1.729711,6.161858,3.416507,4.510191,5.908884,0,0,9,0
"10-Jun",0,0,16.35247,6.344397,0,0,16.52869,0,1.097039,7.184809,0,3.041978,0,0,0,0,0,0,0,0,8.34073,0,0,0,0,10.62223,0,4.437263,16.14225,1.837848,5.539871,4.930208,5.111807,0,0,0,0,0,0
"11-Jun",0,12.11646,0,5.162065,0,11.48732,0,8.002254,0,0,0,12.18677,5.42333,0,3.536284,0,0,0,1.345187,3.63103,0,0,3.563657,0,6.064353,0,0,18.13773,0,10.97772,0,5.165713,5.004819,3.857862,0,0,0,0,0
"12-Jun",0,0,0,7.051296,6.564906,0,2.956927,0,1.907986,0,34.82824,0,2.333987,2.424117,0,0,0,0,0,0,0,10.01436,8.139946,12.35741,6.926208,0,0,0,2.825944,0,1.292375,6.329655,0,11.44189,0,0,3.488601,0,0
"13-Jun",85.33325,34.92336,4.130545,0,20.90189,6.661597,17.58284,0,6.988585,5.787049,,0,0,4.951138,0,0,0,0,0,11.65706,0,0,0,9.555683,34.84422,0,0,0,3.719432,0,0,0,3.134305,0,53.86883,0,0,9,0
"14-Jun",,0,1.887877,0,0,0,0,0,0,9.067928,0,0,0,0,0.3590234,0,0,0,0,0,9.28181,0,0,4.056622,0,0,6.03364,0,11.37278,0,0,0,3.697525,11.39437,0,0,0,12,0
"15-Jun",0,4.786822,13.80058,0,10.81573,13.72845,22.19306,0,3.119964,13.85887,0,0,0,0,12.12229,0,0,0,10.12414,0,24.65512,0,0,0,3.781044,0,3.441314,0,2.993364,0,9.135421,0,3.083868,0,5.382782,1.189546,0,18,0
"16-Jun",16.56976,0,3.934785,0,0,0,0,0,0.9407458,29.82995,1.803958,2.335373,0,0,4.146869,0,0,0,0,1.179477,0,0,0,4.576956,0,0,5.993073,0,5.466179,0,4.432261,3.658786,0,0,2.141507,0,12,0,7
"17-Jun",5.994677,0,0,0,0,0,0,0,0,0,44.61673,7.012773,0,0,13.65139,5.374967,0,0,9.000001,0,0,7.621634,6.965943,9.738942,0,0,0,13.39105,0,3.766526,2.805153,2.644148,0,15.96697,0,0,0,0,9
"18-Jun",,0,0,0,0,0,0,0,0,0,11.36821,0,0,0,0,0,0,0,0,0,4.689266,5.115764,0,7.424419,0,0,0,5.073647,0,0,0,0,10.48771,2.959197,0,16.08641,17.86753,0,18
"19-Jun",0,0,0,0,0,0,0,0,0,16.0061,0,0,5.587344,0,2.587317,0,7.166149,0,16.18736,7.46841,42.2248,12.09851,0,0,0,0,0,0,13.17483,0,0,0,8.21503,0,0,36.26623,0,0,9
"20-Jun",0,0,17.08151,0,3.937032,0,0,0,0,28.3469,0,3.273326,26.14988,0,0,51.57981,0,11.71884,7.081021,10.49587,4.341551,2.787691,5.093816,0,0,0,0,2.778459,9.502055,6.613577,0,0,0,10.93333,0,0,0,0,9
"21-Jun",31.39773,0,0,0,12.58547,0,0,0,0,3.827804,0,2.278698,0,0,4.22473,0,8.923355,3.735068,7.365704,0,0,5.429317,7.013859,0,0,0,0,1.750858,14.31443,0,4.748441,0,30.65147,0,0,5.928161,0,0,9
"22-Jun",0,2.032914,85.30748,0,0,38.26244,0,0,1.464247,0,0,0,0,0,0,0,2.210928,0,0,0,0,0,3.414183,0,0,0,0,4.831621,7.191123,7.561442,0,0,1.986508,0,0.8637636,0,0,11,0
"23-Jun",0,0,0,,0,0,0,0,4.488846,0,0,0,96.14604,0,0,7.671242,0,1.270227,12.22367,0,0,0,6.079439,0,0,0,0,13.72421,12.27238,16.10854,0,0,0,2.749514,0,9.037691,0,18,0
"24-Jun",0,30.3789,0,0,0,0,0,0,1.774342,22.91889,0,0,0,0,0,3.040895,9.845458,14.36209,0,0,6.505274,0,0,0,0,0,5.261507,13.13903,0,0,0,0,0,13.42782,0,0,8.162827,6,0
"25-Jun",0,0,0,0,0,0,0,0,5.273322,8.439781,10.97383,0,0,0,0,2.529928,2.553498,0,0,0,0,1.26275,0,0,0,0,0,9.604116,9.033451,0,0,0,10.46441,7.46122,0,12.54325,0,0,0
"26-Jun",0,,0,0,0,0,0,0,10.07012,4.004443,0,6.294025,0,0,0,6.568843,1.782394,3.704608,15.09093,0,5.909411,0,0,2.448389,0,0,4.530678,0,0,21.91739,0,0,2.012688,0,0,13.88819,4.709236,18,0
"27-Jun",0,0,,0,0,0,2.851987,0,0,4.933854,3.507892,0,0,0,0,0,0,0,0.5228858,0,7.309594,0,0,8.739627,0,7.207324,0,0,3.971106,7.747881,0,0,0,0,5.967339,0,0,0,0
"28-Jun",0,0,0,0,,0,0,0,0,2.622912,0,38.34834,0,0,0,0,0,0,0,0,10.56636,0,0,0,0,0,10.12998,5.381947,12.77668,6.886422,6.744908,0,5.834242,0,35.22711,0,0,9,0
"29-Jun",0,0,0,0,,97.80742,0,0,0,0,0,0,15.18692,0,0,0,0,9.256663,6.009842,0,5.78477,0,0,0,0,0,1.764475,0,0,0,0,0,0,0,4.187846,2.51351,0,0,9
"30-Jun",,0,0,0,,0,0,0,0,5.783487,0,0.9866314,112.7138,18.01228,1.046757,0,0,0,0,0,15.71811,0,0,0,0,0,0,0,0,21.35301,3.685337,0,0,0,0,0,0,0,9
"1-Jul",,0,0,,0,9.966731,0,3.83057,0,13.12921,0,0,,0,0,0,0,0,0,0,2.647357,0,8.612784,0,0,0,11.00787,1.049935,0,7.507949,5.580623,0,0,0,0,0,0,0,0
"2-Jul",0,0,0,1.402289,1.808286,0,0,0,0,6.859385,0,17.29671,,0,0,0,8.434285,0,0,0,0.9198729,0,9.657047,0,0,4.012945,3.676832,0.7907545,4.819576,5.488389,6.925973,0,0,0,0,0,6.447779,0,0
"3-Jul",0,0,0,0,,8.500134,0,0.9280046,0,0,0,0,,5.5281,0,0,6.100458,0,0,0,7.812317,0,4.099133,0,5.841046,11.94378,0,5.8629,8.136229,0,12.9994,0,6.411763,0,4.692762,0,7.407305,0,9
"4-Jul",0,2.924744,0,0,0,0,1.617455,4.248013,0,2.670386,1.468907,0,6.242258,0,0,22.94377,0,0,0,0,4.348784,0,17.32082,0,8.174617,0,0,0,0,0,7.14867,0,0,0,2.805213,0,0,10,0
"5-Jul",0,0,1.435388,0,0,0,0,9.719242,0,28.02723,0,6.06892,0,4.992006,0,0,0,0,0,0,0,0,5.966093,0,6.009624,3.039611,0,0,7.118126,0,0,0,0,0,1.081722,0,0,10,0
"6-Jul",0,0,6.723254,0,0,0,1.509287,0,4.095288,9.078012,0,6.308148,4.737718,4.098199,0,0,0,0,0,0,13.75233,0,9.695522,0,0,7.962986,0,0,0,0,0,0,0,0,1.75587,0,0,9,0
"7-Jul",0,0,0,0,0,3.052022,0,0,7.034327,0,0,0,6.701171,0,0,0,0,0,0,0,7.295067,0,0,0,0,0,0,0,3.086659,0,0,22.38191,0,0,9.814844,0,8.709885,18,0
"8-Jul",0,0,0,0,0,0,7.6082,0,0,0,0,23.12174,3.909486,2.360549,2.40588,18.25335,0,0,0,3.824489,9.635564,0,0,0,0,0,0,0,4.038424,0,4.838568,0,0,0,0,0,0,7,10
"9-Jul",40.11856,0,4.951232,0,0,6.922131,1.887925,0,0,0,1.46191,14.26539,0,3.578001,4.278002,7.66427,0,0,0,0,11.29897,0,0,0,0,1.386932,0,0,5.145995,3.058021,0,0,0,0,0,0,3.089425,0,0
"10-Jul",0,6.354406,5.74931,0,0,11.66544,0,0,0,5.267947,0,0,0,0,6.431592,0,0,5.632665,0,0,0,0,0,0,0,0,0,0,6.040443,3.929246,0,0,0,0,0,0,0,9,0
"11-Jul",0,0,0,0,0,1.26197,0,0,0,0,0,,0,3.664781,0,0,0,0,0,0,9.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.134292,19,0
"12-Jul",,4.433924,4.066517,6.536336,0,0,0,12.69408,0,1.835934,0,0,0,14.2732,0,2.378813,0,8.564408,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77555,0,0,0,0,14.04427,9,0
"13-Jul",12.99021,0,0,10.92068,0,0,0,4.095206,0,3.77788,0,5.462083,3.03014,0,0,0,0,0,0,6.871109,9.457393,0,0,0,0,6.008182,0,0,0,0,0,6.091944,0,0,4.214674,17.07804,16.50776,0,0
"14-Jul",0,0,8.093301,0,0,12.55586,0,0,0,0,0,4.937809,0,6.486133,0,3.521645,0,0,3.480587,23.72709,0,0,0,0,0,2.753449,8.749586,0,0,13.74543,3.059731,0,0,0,4.532546,0,0,0,15
"15-Jul",0,21.43695,18.5357,0,0,2.364432,0,6.516125,0,2.086438,0,32.9803,6.886661,23.62391,0,13.76487,6.153466,0,0,0,6.862491,12.38743,0,0,0,25.3339,3.005877,0,0.7561785,4.874105,0,0,0,7.812684,13.36805,0,41.23036,10,0
"16-Jul",,0,6.156216,0,0,6.542676,0,0,0,0,0,21.46234,0,2.823771,0,2.286827,0,0,0,0,0,1.134214,0,0,0,0,0,0,0,0,0,44.33257,0,15.23107,17.03596,0,18.47709,9,0
"17-Jul",0,0,0,6.410649,0,14.78867,0,5.696209,0,0,0,0,0,0,0,0,0,0,7.383699,13.11585,30.49555,3.007368,0,0,14.74929,0,0,4.041607,0,5.479355,0,0,0,2.617539,0,0,2.479572,0,0
